"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","2366"
"FAYUVConvertPS","Global","SF_Pixel","1","1313"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","949"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","2243"
"FAlphaInvertPS","Global","SF_Pixel","1","597"
"FAmbientOcclusionCS","Global","SF_Compute","18","96184"
"FAmbientOcclusionPS","Global","SF_Pixel","23","112608"
"FAmbientOcclusionSetupPS","Global","SF_Pixel","1","2317"
"FAmbientOcclusionSmoothCS","Global","SF_Compute","1","1158"
"FAmbientOcclusionSmoothPS","Global","SF_Pixel","1","907"
"FAnimBankEvaluateCS","Global","SF_Compute","1","3053"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","1837"
"FBMPConvertPS","Global","SF_Pixel","1","1168"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","1114"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","13435"
"FBinkDrawVS","Global","SF_Vertex","1","775"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","4301"
"FBitonicSortGlobalMergeCS","Global","SF_Compute","1","956"
"FBitonicSortLocalMergeCS","Global","SF_Compute","1","2090"
"FBitonicSortLocalSortCS","Global","SF_Compute","1","3311"
"FBuildFeedbackHashTableCS","Global","SF_Compute","2","2690"
"FBuildFeedbackHashTableIndirectArgsCS","Global","SF_Compute","1","783"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","995"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","32","228170"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","3513"
"FCapsuleShadowingCS","Global","SF_Compute","7","31689"
"FCapsuleShadowingUpsamplePS","Global","SF_Pixel","4","7273"
"FCapsuleShadowingUpsampleVS","Global","SF_Vertex","1","1273"
"FChannelMaskPS","Global","SF_Pixel","1","1878"
"FClearIndirectArgInstanceCountCs","Global","SF_Compute","1","706"
"FClearIndirectDispatchArgsCS","Global","SF_Compute","1","849"
"FClearMessageBufferCS","Global","SF_Compute","1","427"
"FClearPressureGridCS","Global","SF_Compute","1","1302"
"FClearReplacementCS_Buffer_Float4_Bounds","Global","SF_Compute","1","759"
"FClearReplacementCS_Buffer_Float_Bounds","Global","SF_Compute","1","753"
"FClearReplacementCS_Buffer_Sint4_Bounds","Global","SF_Compute","1","750"
"FClearReplacementCS_Buffer_Uint","Global","SF_Compute","1","507"
"FClearReplacementCS_Buffer_Uint4","Global","SF_Compute","1","515"
"FClearReplacementCS_Buffer_Uint4_Bounds","Global","SF_Compute","1","744"
"FClearReplacementCS_Buffer_Uint_Bounds","Global","SF_Compute","1","736"
"FClearReplacementCS_Buffer_Uint_Zero","Global","SF_Compute","1","422"
"FClearReplacementCS_LargeBuffer_Float4_Bounds","Global","SF_Compute","1","754"
"FClearReplacementCS_LargeBuffer_Float_Bounds","Global","SF_Compute","1","749"
"FClearReplacementCS_LargeBuffer_Sint4_Bounds","Global","SF_Compute","1","747"
"FClearReplacementCS_LargeBuffer_Uint","Global","SF_Compute","1","505"
"FClearReplacementCS_LargeBuffer_Uint4","Global","SF_Compute","1","512"
"FClearReplacementCS_LargeBuffer_Uint4_Bounds","Global","SF_Compute","1","740"
"FClearReplacementCS_LargeBuffer_Uint_Bounds","Global","SF_Compute","1","732"
"FClearReplacementCS_StructuredBuffer_Float4_Bounds","Global","SF_Compute","1","786"
"FClearReplacementCS_StructuredBuffer_Float_Bounds","Global","SF_Compute","1","783"
"FClearReplacementCS_StructuredBuffer_Sint4_Bounds","Global","SF_Compute","1","778"
"FClearReplacementCS_StructuredBuffer_Uint","Global","SF_Compute","1","532"
"FClearReplacementCS_StructuredBuffer_Uint4","Global","SF_Compute","1","542"
"FClearReplacementCS_StructuredBuffer_Uint4_Bounds","Global","SF_Compute","1","772"
"FClearReplacementCS_StructuredBuffer_Uint_Bounds","Global","SF_Compute","1","763"
"FClearReplacementCS_StructuredBuffer_Uint_Zero","Global","SF_Compute","1","481"
"FClearReplacementCS_Texture2DArray_Float4","Global","SF_Compute","1","520"
"FClearReplacementCS_Texture2DArray_Float4_Bounds","Global","SF_Compute","1","768"
"FClearReplacementCS_Texture2DArray_Sint4_Bounds","Global","SF_Compute","1","755"
"FClearReplacementCS_Texture2DArray_Uint","Global","SF_Compute","1","502"
"FClearReplacementCS_Texture2DArray_Uint4","Global","SF_Compute","1","509"
"FClearReplacementCS_Texture2DArray_Uint4_Bounds","Global","SF_Compute","1","741"
"FClearReplacementCS_Texture2DArray_Uint_Zero","Global","SF_Compute","1","381"
"FClearReplacementCS_Texture2D_Float4","Global","SF_Compute","1","524"
"FClearReplacementCS_Texture2D_Float4_Bounds","Global","SF_Compute","1","747"
"FClearReplacementCS_Texture2D_Sint4_Bounds","Global","SF_Compute","1","735"
"FClearReplacementCS_Texture2D_Uint4","Global","SF_Compute","1","510"
"FClearReplacementCS_Texture2D_Uint4_Bounds","Global","SF_Compute","1","722"
"FClearReplacementCS_Texture3D_Float4","Global","SF_Compute","1","503"
"FClearReplacementCS_Texture3D_Float4_Bounds","Global","SF_Compute","1","750"
"FClearReplacementCS_Texture3D_Sint4_Bounds","Global","SF_Compute","1","738"
"FClearReplacementCS_Texture3D_Uint4","Global","SF_Compute","1","490"
"FClearReplacementCS_Texture3D_Uint4_Bounds","Global","SF_Compute","1","723"
"FClearReplacementPS","Global","SF_Pixel","1","471"
"FClearReplacementPS_128","Global","SF_Pixel","1","471"
"FClearReplacementPS_Zero","Global","SF_Pixel","1","320"
"FClearReplacementVS","Global","SF_Vertex","1","427"
"FClearReplacementVS_Bounds","Global","SF_Vertex","1","579"
"FClearReplacementVS_Depth","Global","SF_Vertex","1","564"
"FClearUAVBuildIndirectDispatchBufferCS","Global","SF_Compute","1","882"
"FClearUAVCS","Global","SF_Compute","1","717"
"FClearVelocityGridCS","Global","SF_Compute","1","674"
"FCombineShadingRateTexturesCS","Global","SF_Compute","2","1178"
"FCompactFeedbackHashTableCS","Global","SF_Compute","2","2145"
"FCompactViewsVSM_CS","Global","SF_Compute","1","2913"
"FCompositeCoreDilateShader","Global","SF_Compute","3","5544"
"FCompositeCoreDisplayTransformShader","Global","SF_Pixel","1","1114"
"FCompositeCoreMergeShader","Global","SF_Pixel","2","13774"
"FCompositePostProcessPrimitivesPS","Global","SF_Pixel","14","37961"
"FComputeBrightnessPS","Global","SF_Pixel","1","1074"
"FComputeCubeMaxLuminancePS","Global","SF_Pixel","1","1062"
"FComputeShaderYCbCrToRGB","Global","SF_Compute","1","1395"
"FComputeSkyEnvMapDiffuseIrradianceCS","Global","SF_Compute","1","3354"
"FComputeVariableRateShadingImageGeneration","Global","SF_Compute","1","1115"
"FConvolveSpecularFaceCS","Global","SF_Compute","1","2549"
"FCopyCompressCS","Global","SF_Compute","20","45634"
"FCopyCubemapToCubeFacePS","Global","SF_Pixel","1","1829"
"FCopyCubemapToIlluminanceMeterCubemapPS","Global","SF_Pixel","1","1539"
"FCopyDepthPS","Global","SF_Pixel","2","1009"
"FCopyDiffuseIrradiancePS","Global","SF_Pixel","1","1755"
"FCopyEyeAdaptationToTextureCS","Global","SF_Compute","1","580"
"FCopyPreviousTransformsCS","Global","SF_Compute","2","1914"
"FCopyRectPS","Global","SF_Pixel","1","554"
"FCopyRectSrvPS","Global","SF_Pixel","1","554"
"FCopySceneColorPS","Global","SF_Pixel","2","1303"
"FCopySceneColorTexturePS","Global","SF_Pixel","1","1411"
"FCopySceneColorToCubeFacePS","Global","SF_Pixel","1","1435"
"FCopyShadowMaps2DPS","Global","SF_Pixel","1","609"
"FCopyShadowMapsCubePS","Global","SF_Pixel","1","1114"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Float4","Global","SF_Compute","1","793"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Int324","Global","SF_Compute","1","785"
"FCopyTextureCS_Texture2DArray_Texture2DArray_Uint324","Global","SF_Compute","1","789"
"FCopyTextureCS_Texture2DArray_Texture2D_Float4","Global","SF_Compute","1","835"
"FCopyTextureCS_Texture2DArray_Texture2D_Int324","Global","SF_Compute","1","822"
"FCopyTextureCS_Texture2DArray_Texture2D_Uint324","Global","SF_Compute","1","823"
"FCopyTextureCS_Texture2DArray_Texture3D_Float4","Global","SF_Compute","1","797"
"FCopyTextureCS_Texture2DArray_Texture3D_Int324","Global","SF_Compute","1","790"
"FCopyTextureCS_Texture2DArray_Texture3D_Uint324","Global","SF_Compute","1","792"
"FCopyTextureCS_Texture2D_Texture2DArray_Float4","Global","SF_Compute","1","826"
"FCopyTextureCS_Texture2D_Texture2DArray_Int324","Global","SF_Compute","1","810"
"FCopyTextureCS_Texture2D_Texture2DArray_Uint324","Global","SF_Compute","1","815"
"FCopyTextureCS_Texture2D_Texture2D_Float4","Global","SF_Compute","1","820"
"FCopyTextureCS_Texture2D_Texture2D_Int324","Global","SF_Compute","1","806"
"FCopyTextureCS_Texture2D_Texture2D_Uint324","Global","SF_Compute","1","808"
"FCopyTextureCS_Texture2D_Texture3D_Float4","Global","SF_Compute","1","814"
"FCopyTextureCS_Texture2D_Texture3D_Int324","Global","SF_Compute","1","800"
"FCopyTextureCS_Texture2D_Texture3D_Uint324","Global","SF_Compute","1","802"
"FCopyTextureCS_Texture3D_Texture2DArray_Float4","Global","SF_Compute","1","799"
"FCopyTextureCS_Texture3D_Texture2DArray_Int324","Global","SF_Compute","1","791"
"FCopyTextureCS_Texture3D_Texture2DArray_Uint324","Global","SF_Compute","1","794"
